"Project ID","Project name","Project description","Project creation date","Project last update","Team size","Current step name","Current status","Thématique","Accompagnement","TOD Advisor","Step Name (step_13)","Entry date (step_13)","Submission date (step_13)","Type de situation","Step Name (step_70)","Entry date (step_70)","Submission date (step_70)","Step Name (step_1)","Entry date (step_1)","Submission date (step_1)","Step Name (step_8)","Entry date (step_8)","Submission date (step_8)","Step Name (step_2)","Entry date (step_2)","Submission date (step_2)","Step Name (step_33)","Entry date (step_33)","Submission date (step_33)","Step Name (step_17)","Entry date (step_17)","Submission date (step_17)","Step Name (step_18)","Entry date (step_18)","Submission date (step_18)","Step Name (step_12)","Entry date (step_12)","Submission date (step_12)","Step Name (step_19)","Entry date (step_19)","Submission date (step_19)","Step Name (step_20)","Entry date (step_20)","Submission date (step_20)","Step Name (step_10)","Entry date (step_10)","Submission date (step_10)","Step Name (step_7)","Entry date (step_7)","Submission date (step_7)","Step Name (step_23)","Entry date (step_23)","Submission date (step_23)","Step Name (step_24)","Entry date (step_24)","Submission date (step_24)","Step Name (step_25)","Entry date (step_25)","Submission date (step_25)","Step Name (step_26)","Entry date (step_26)","Submission date (step_26)","Step Name (step_27)","Entry date (step_27)","Submission date (step_27)","Step Name (step_28)","Entry date (step_28)","Submission date (step_28)","Step Name (step_29)","Entry date (step_29)","Step Name (step_63)","Entry date (step_63)","Submission date (step_63)","Step Name (step_64)","Entry date (step_64)","Submission date (step_64)","Step Name (step_65)","Entry date (step_65)","Submission date (step_65)","Step Name (step_66)","Entry date (step_66)","Submission date (step_66)","Step Name (step_67)","Entry date (step_67)","Submission date (step_67)","Step Name (step_68)","Entry date (step_68)","Submission date (step_68)","Step Name (step_69)","Entry date (step_69)","Submission date (step_69)"
"001","Enside","ENSIDE offers an innovative approach to strengthen team cohesion and collective energy. Our solution combines immersive cohesion workshops (""Let's Connect"") with a digital application that collects and analyzes human data to generate actionable insights","05/06/2024","13/06/2025","004","OM | Incubation","active","New Ways of working","0","Corporate","Soumission","05/06/2024","12/07/2024","Operating Model (situation visant à améliorer, optimiser ou changer des process, pratiques ou organisations de travail)","Categorization","NA","NA","Ideation","12/07/2024","14/07/2024","Ideation | Demo Day ","20/07/2024","20/07/2024","Development","29/07/2024","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","28/04/2025","30/04/2025","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","01/05/2025","01/05/2025","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","16/05/2025","16/05/2025","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
"003","EnergiX Solutions","Création d'EnergiX Solutions afin d'optimiser l'efficacité énergétique au sein du Groupe OCP. Grâce à des analyses de données avancées, cette initiative vise à réduire les coûts énergétiques, renforçant ainsi la position du Groupe en tant que leader sur l","07/06/2024","21/06/2025","001","Ideation","active","Energy Solutions","0","SBU Mining Khouribga","Soumission","07/06/2024","NA","Business (situation visant à générer des revenus)","Categorization","NA","NA","Ideation","30/05/2025","NA","Ideation | Demo Day ","NA","NA","Development","NA","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","NA","NA","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","NA","NA","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","NA","NA","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
"006","Green buildings","Adopter une démarche environnementale dans les projets de construction pour avoir des bâtiments verts et réduire l’empreinte carbone_x000D_
Améliorer l’efficacité énergétique des bâtiments existants du groupe","07/06/2024","13/06/2025","003","Ideation","active","Génie civil","0","Corporate","Soumission","07/06/2024","16/08/2024","Business (situation visant à générer des revenus)","Categorization","NA","NA","Ideation","16/08/2024","28/08/2024","Ideation | Demo Day ","NA","NA","Development","NA","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","NA","NA","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","NA","NA","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","NA","NA","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
"007","Dynamic ecosystem","Développement de l'écosystème local et identification des opportunités de croissance mutuelle à travers la mise en place des partenariats stratégiques avec les acteurs du territoire, notamment les autorités locales, les entreprises, les organisations comm","06/07/2024","13/06/2025","003","*Soumission*","active","Ecosystem","0","SBU Manufacturig Safi","Soumission","06/07/2024","NA","Ecosystème (situation visant à créer de la valeur avec l’écosystème du groupe)","Categorization","NA","NA","Ideation","NA","NA","Ideation | Demo Day ","NA","NA","Development","NA","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","NA","NA","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","NA","NA","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","NA","NA","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
"009","Sport4Family","En tant que sportif professionnel je veux mettre mon expérience riche pour motiver les collaborateurs et leurs familles en plus d'écosystème à faire le sport a travers un planning à la fois sportif et éducatif .","06/07/2024","13/06/2025","001","Ideation","active","Ecosystem","0","SBU Manufacturing Jorf","Soumission","06/07/2024","15/07/2024","Ecosystème (situation visant à créer de la valeur avec l’écosystème du groupe)","Categorization","NA","NA","Ideation","15/07/2024","08/08/2024","Ideation | Demo Day ","NA","NA","Development","NA","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","NA","NA","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","NA","NA","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","NA","NA","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
"010","GeoFleet","Installation d'un système GPS embarqué pour les véhicules DCI afin d'assurer la géolocalisation des véhicules, des engins et des installations sur chantiers","06/07/2024","13/06/2025","001","*Soumission*","active","Operating Model","0","SBU Mining Gantour","Soumission","06/07/2024","NA","Operating Model (situation visant à améliorer, optimiser ou changer des process, pratiques ou organisations de travail)","Categorization","NA","NA","Ideation","NA","NA","Ideation | Demo Day ","NA","NA","Development","NA","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","NA","NA","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","NA","NA","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","NA","NA","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
"012","OCP Learning solution OLS","Real time learning platform : développer une plateforme de type UBER (le conducteur : c'est un collaborateur qui est prêt à partager des connaissances & informations sur un sujet donné et l'utilisateur : un collaborateur en recherche de l'information","06/07/2024","13/06/2025","006","Ideation","active","Knowledge Management","0","SBU Manufacturig Safi","Soumission","06/07/2024","16/07/2024","Business (situation visant à générer des revenus)","Categorization","NA","NA","Ideation","16/07/2024","NA","Ideation | Demo Day ","NA","NA","Development","NA","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","NA","NA","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","NA","NA","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","NA","NA","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
"013","ProPDR","Lancer une initiative permettant d'accompagner les entreprises locales à produire des PDR nécessaires dans la production et chargement des engrais  ","06/07/2024","13/06/2025","001","*Soumission*","active","Optimisation industrielle","0","SBU Manufacturing Jorf","Soumission","06/07/2024","NA","Business (situation visant à générer des revenus)","Categorization","NA","NA","Ideation","NA","NA","Ideation | Demo Day ","NA","NA","Development","NA","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","NA","NA","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","NA","NA","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","NA","NA","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
"014","EcoRecycle","-Création d'une filiale OCP pour le traitement et le recyclage des déchets industriels à Jorf Lasfar, visant à transformer les déchets en opportunités économiques tout en bénéficiant à la communauté locale; -Réduire l'empreinte carbone des engrais en remp","06/07/2024","13/06/2025","001","*Soumission*","active","Recycling & Waste Management","0","SBU Manufacturing Jorf","Soumission","06/07/2024","NA","Business (situation visant à générer des revenus)","Categorization","NA","NA","Ideation","NA","NA","Ideation | Demo Day ","NA","NA","Development","NA","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","NA","NA","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","NA","NA","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","NA","NA","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
"015","ThermoExpert Team","Equipe expert centrale thermique est une équipe polyvalente pour la conception, l'innovation ,l'exploitation et la réalisation des audits au sein OCP ou externe.","06/07/2024","13/06/2025","003","Ideation","active","Talent Development","0","SBU Manufacturing Jorf","Soumission","06/07/2024","16/07/2024","Business (situation visant à générer des revenus)","Categorization","NA","NA","Ideation","16/07/2024","NA","Ideation | Demo Day ","NA","NA","Development","NA","NA","Business | Incubation","NA","NA","Business | Pre-Hacking Committee ","NA","NA","Business | Hacking Committee","NA","NA","Business | Acceleration","NA","NA","Business | Pre-Impact Committee","NA","NA","Business | Impact Committee","NA","NA","Business | Impact","NA","NA","Business | Series B","NA","NA","OM | Incubation","NA","NA","OM | Pre-Hacking Committee","NA","NA","OM | Hacking Committee","NA","NA","OM | Acceleration","NA","NA","OM | Pre-Impact Committee ","NA","NA","OM | Impact Committee","NA","NA","OM | Impact","NA","Ecosystem | Incubation","NA","NA","Ecosystem | Pre-Hacking Committee","NA","NA","Ecosystem | Hacking Committee","NA","NA","Ecosystem | Acceleration","NA","NA","Ecosystem | Pre-Impact Committee ","NA","NA","Ecosystem | Impact Committee","NA","NA","Ecosystem | Impact","NA","NA"
